Date,Check #,Transaction,Amount
01/04/2023,6656,Transaction 1,$7560.52
02/05/2023,3789,Transaction 2,-$8231.74
03/06/2023,2345,Transaction 3,$6987.32
04/07/2023,9871,Transaction 4,$7895.14
05/08/2023,4328,Transaction 5,-$7219.98
06/09/2023,7593,Transaction 6,$8134.46
07/10/2023,8521,Transaction 7,-$6842.17
08/11/2023,5692,Transaction 8,$7028.93
09/12/2023,9837,Transaction 9,$8371.29
10/13/2023,1245,Transaction 10,-$7698.42
11/14/2023,8732,Transaction 11,$7294.78
12/15/2023,6215,Transaction 12,$8057.90
01/16/2024,4896,Transaction 13,-$7135.61
02/17/2024,7325,Transaction 14,$7752.37
03/18/2024,9852,Transaction 15,$8489.84
